date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:34	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2017%20Jan%202021%2002:59:08%20GMT	https://freetopgenerator.site/robots.txt		(from )
22:57:34	20606/20606	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Nov%202020%2013:41:13%20GMT	https://freetopgenerator.site/intagramgenerator/	C:/My%20Web%20Sites/Newsss/freetopgenerator.site/intagramgenerator/index.html	(from )
22:57:35	48649/48649	---MCZ	200	added ('OK')	text/css	etag:W/%2210519cfd3206802f58315b877a9beab5%22	https://use.fontawesome.com/releases/v5.3.1/css/all.css	C:/My%20Web%20Sites/Newsss/use.fontawesome.com/releases/v5.3.1/css/all.css	(from https://freetopgenerator.site/intagramgenerator/)
22:57:35	280875/280875	---M--	200	added ('OK')	image/jpeg	date:Sun,%2009%20Aug%202020%2017:44:32%20GMT	https://freetopgenerator.site/intagramgenerator/images/instagram-background.jpg	C:/My%20Web%20Sites/Newsss/freetopgenerator.site/intagramgenerator/images/instagram-background.jpg	(from https://freetopgenerator.site/intagramgenerator/)
22:57:35	140944/140944	---MCZ	200	added ('OK')	text/css	etag:W/%223aa54f77c8f54e1bde211da2033c82e7%22	https://bucket.cpabuild.com/uploads/assets/1563298961d7e11a0c316ea6a189a4b4e2bd1ad627.css	C:/My%20Web%20Sites/Newsss/bucket.cpabuild.com/uploads/assets/1563298961d7e11a0c316ea6a189a4b4e2bd1ad627.css	(from https://freetopgenerator.site/intagramgenerator/)
22:57:36	52611/52611	---MCZ	200	added ('OK')	text/css	etag:W/%224e91bc413e67147f89e10a04c7383d2a%22	https://bucket.cpabuild.com/uploads/assets/15632989585b40da5bd6314d160701458ac2c4a7d1.css	C:/My%20Web%20Sites/Newsss/bucket.cpabuild.com/uploads/assets/15632989585b40da5bd6314d160701458ac2c4a7d1.css	(from https://freetopgenerator.site/intagramgenerator/)
22:57:36	14912/14912	---MCZ	200	added ('OK')	text/css	etag:W/%22a0967b6684b50388853f4d47929f538e%22	https://bucket.cpabuild.com/uploads/assets/156329895711cae4998a41b5da23ba029e87c09799.css	C:/My%20Web%20Sites/Newsss/bucket.cpabuild.com/uploads/assets/156329895711cae4998a41b5da23ba029e87c09799.css	(from https://freetopgenerator.site/intagramgenerator/)
22:57:36	533/533	---MCZ	200	added ('OK')	text/css	date:Thu,%2013%20Aug%202020%2023:38:08%20GMT	https://freetopgenerator.site/intagramgenerator/style.css	C:/My%20Web%20Sites/Newsss/freetopgenerator.site/intagramgenerator/style.css	(from https://freetopgenerator.site/intagramgenerator/)
22:57:36	209666/209666	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Aug%202020%2017:42:14%20GMT	https://freetopgenerator.site/intagramgenerator/images/1logo.png	C:/My%20Web%20Sites/Newsss/freetopgenerator.site/intagramgenerator/images/1logo.png	(from https://freetopgenerator.site/intagramgenerator/)
22:57:36	3598/3598	---M--	200	added ('OK')	image/png	etag:%229e1ac716c9fe51960115dca42f5a9967%22	https://bucket.cpabuild.com/uploads/15632985689e62ecb8c418245324461d9882321c18.png	C:/My%20Web%20Sites/Newsss/bucket.cpabuild.com/uploads/15632985689e62ecb8c418245324461d9882321c18.png	(from https://freetopgenerator.site/intagramgenerator/)
22:57:37	1807/1807	---M--	200	added ('OK')	image/png	etag:%2243344e322fd4d05bb9a82a08b7a668ea%22	https://bucket.cpabuild.com/uploads/1563298567639639aebb222c39d2e4d0689b06d88e.png	C:/My%20Web%20Sites/Newsss/bucket.cpabuild.com/uploads/1563298567639639aebb222c39d2e4d0689b06d88e.png	(from https://freetopgenerator.site/intagramgenerator/)
22:57:37	1720/1720	---M--	200	added ('OK')	image/png	etag:%225e01212298c74aa1556a13963c7dd1bb%22	https://bucket.cpabuild.com/uploads/1563298568a7769d5a22b373684d13b726fe3c4e65.png	C:/My%20Web%20Sites/Newsss/bucket.cpabuild.com/uploads/1563298568a7769d5a22b373684d13b726fe3c4e65.png	(from https://freetopgenerator.site/intagramgenerator/)
22:57:37	3957/3957	---M--	200	added ('OK')	image/png	etag:%2216472396fa249959eb3a02a5316e6f27%22	https://bucket.cpabuild.com/uploads/1563298581663f76f3919c5c4f756d27b43b2d1ced.png	C:/My%20Web%20Sites/Newsss/bucket.cpabuild.com/uploads/1563298581663f76f3919c5c4f756d27b43b2d1ced.png	(from https://freetopgenerator.site/intagramgenerator/)
22:57:37	4141/4141	---M--	200	added ('OK')	image/png	etag:%22a5a2c1d95b6cfc541f5643d9e0c960e0%22	https://bucket.cpabuild.com/uploads/1563298569bc30d98b5d09f10340f8c291267e4b82.png	C:/My%20Web%20Sites/Newsss/bucket.cpabuild.com/uploads/1563298569bc30d98b5d09f10340f8c291267e4b82.png	(from https://freetopgenerator.site/intagramgenerator/)
22:57:38	1375/1375	---M--	200	added ('OK')	image/png	etag:%22b195c5bdb0f662026c79786d6f0c1dbf%22	https://bucket.cpabuild.com/uploads/15632985676eaec212438532005397fb7e3e1574b5.png	C:/My%20Web%20Sites/Newsss/bucket.cpabuild.com/uploads/15632985676eaec212438532005397fb7e3e1574b5.png	(from https://freetopgenerator.site/intagramgenerator/)
22:57:38	592/592	---M--	200	added ('OK')	image/png	etag:%22b63b7125817d29b1b9b30a03a68b03f8%22	https://bucket.cpabuild.com/uploads/15632985661506560019e5ebafa191ef1bd66e46c0.png	C:/My%20Web%20Sites/Newsss/bucket.cpabuild.com/uploads/15632985661506560019e5ebafa191ef1bd66e46c0.png	(from https://freetopgenerator.site/intagramgenerator/)
22:57:38	1021/1021	---M--	200	added ('OK')	image/png	etag:%2225e43a60ff0c69c2cbdb456027ff9ed5%22	https://bucket.cpabuild.com/uploads/15632985655d91c2e7c56d452ead66bc0e5dcd875c.png	C:/My%20Web%20Sites/Newsss/bucket.cpabuild.com/uploads/15632985655d91c2e7c56d452ead66bc0e5dcd875c.png	(from https://freetopgenerator.site/intagramgenerator/)
22:57:38	59260/59260	---M--	200	added ('OK')	image/png	etag:%2210d79e15e31ec2207116928c3dce709c%22	https://bucket.cpabuild.com/uploads/156329857340d6d231d29dfe3964a7ce6520fa8648.png	C:/My%20Web%20Sites/Newsss/bucket.cpabuild.com/uploads/156329857340d6d231d29dfe3964a7ce6520fa8648.png	(from https://freetopgenerator.site/intagramgenerator/)
22:57:39	47824/47824	---M--	200	added ('OK')	image/jpeg	date:Sun,%2009%20Aug%202020%2018:08:36%20GMT	https://freetopgenerator.site/intagramgenerator/images/2logo.jpg	C:/My%20Web%20Sites/Newsss/freetopgenerator.site/intagramgenerator/images/2logo.jpg	(from https://freetopgenerator.site/intagramgenerator/)
22:57:39	23439/23439	---M--	200	added ('OK')	application/javascript	etag:%225b8f-5b27ad4f27842%22	https://cpbild.co/public/external/locker.js	C:/My%20Web%20Sites/Newsss/cpbild.co/public/external/locker.js	(from https://freetopgenerator.site/intagramgenerator/)
22:57:40	86927/86927	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22a09e13ee94d51c524b7e2a728c7d4039%22	https://bucket.cpabuild.com/uploads/assets/1563194463bc66e25d79d63b124e302cf030d5249a.js	C:/My%20Web%20Sites/Newsss/bucket.cpabuild.com/uploads/assets/1563194463bc66e25d79d63b124e302cf030d5249a.js	(from https://freetopgenerator.site/intagramgenerator/)
22:57:40	50801/50801	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22dd69aef5060959e56bef1dce9d62fb2b%22	https://bucket.cpabuild.com/uploads/assets/15632989888acd44f9e760343e2b1df628436f5d5c.js	C:/My%20Web%20Sites/Newsss/bucket.cpabuild.com/uploads/assets/15632989888acd44f9e760343e2b1df628436f5d5c.js	(from https://freetopgenerator.site/intagramgenerator/)
22:57:40	22905/22905	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%221d8285c888d8bf0a028b178ade76fc86%22	https://bucket.cpabuild.com/uploads/assets/156329898910ee51f16ae14fd343eadd66715a174a.js	C:/My%20Web%20Sites/Newsss/bucket.cpabuild.com/uploads/assets/156329898910ee51f16ae14fd343eadd66715a174a.js	(from https://freetopgenerator.site/intagramgenerator/)
22:57:40	20337/20337	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2283fb8c4d9199dce0224da0206423106f%22	https://bucket.cpabuild.com/uploads/assets/15631943349d83cf34d15b5929728eb18de71c637a.js	C:/My%20Web%20Sites/Newsss/bucket.cpabuild.com/uploads/assets/15631943349d83cf34d15b5929728eb18de71c637a.js	(from https://freetopgenerator.site/intagramgenerator/)
22:57:41	47051/47051	---MC-	200	added ('OK')	text/javascript	date:Fri,%2023%20Oct%202020%2003:00:57%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Newsss/www.google-analytics.com/analytics.js	(from https://freetopgenerator.site/intagramgenerator/)
22:57:41	7131/7131	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2010%20Aug%202020%2003:50:54%20GMT	https://freetopgenerator.site/intagramgenerator/adblockDetector.js	C:/My%20Web%20Sites/Newsss/freetopgenerator.site/intagramgenerator/adblockDetector.js	(from https://freetopgenerator.site/intagramgenerator/)
22:57:42	11440/11440	---M-Z	200	added ('OK')	text/javascript	etag:%22-375139978%22	http://s10.histats.com/js15_as.js	C:/My%20Web%20Sites/Newsss/s10.histats.com/js15_as.js	(from https://freetopgenerator.site/intagramgenerator/)
22:57:42	43/43	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Jan%202021%2002:59:17%20GMT	http://sstatic1.histats.com/0.gif?4475336&101	C:/My%20Web%20Sites/Newsss/sstatic1.histats.com/09493.gif	(from https://freetopgenerator.site/intagramgenerator/)
22:57:43	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2017%20Jan%202021%2002:59:18%20GMT	https://freetopgenerator.site/intagramgenerator/popper.js	C:/My%20Web%20Sites/Newsss/freetopgenerator.site/intagramgenerator/popper.js	(from https://bucket.cpabuild.com/uploads/assets/15632989888acd44f9e760343e2b1df628436f5d5c.js)
